,Atomic Number,Symbol,Name,Atomic Mass [kg],Electron Configuration,Electronegativity [Pauling],Atomic Radius [m],Ionization Energy [eV],Electron Affinity [eV],Oxidation States,Standard State,Melting Point [K],Boiling Point [K],Density [kg/m^3],Group Block,Vapor Ref Temperatures [K],Vapor Ref Pressures [Pa],Molar Mass [kg/mol],R_sp [J/kg/K],Heat Capacity [J/kg/K],Heat of Vaporization [J/kg],Heat of Fusion [J/kg],Clausius Constant,Clausius Errors,T(1 Torr) [K]
44,42,Mo,Molybdenum,1.5932497499999999e-25,[Kr]5s1 4d5,2.16,2.09e-10,7.092,0.746,+6,Solid,2896.0,4912.0,10200.0,Transition metal,"[2742.0, 2994.0, 3312.0, 3707.0, 4212.0, 4879.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.09594709319474999,86.65308122596599,251.0,6430627.332790951,390631.9488379333,26.98440946188698,"[-0.07707498441741789, -0.09950314434648411, -0.027142543962361265, 0.059135392331182146, 0.16775218687137228, 0.2984331772951525]",3359.242306738288
45,43,Tc,Technetium,1.6091301078e-25,[Kr]5s2 4d5,1.9,2.09e-10,7.28,0.55,"+7, +6, +4",Solid,2430.0,4538.0,11000.0,Transition metal,"[-2727.0, -2998.0, -3324.0, -3726.0, -4234.0, -4894.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.0969034242218238,85.79790989602165,,6039002.281904978,343537.9117645535,-16.590540902745765,"[10099.810464352577, 96.96837472844813, -0.020304582541574523, -0.9900252789318346, -0.9998965891665895, -0.9999989012011955]",
46,44,Ru,Ruthenium,1.6787654999999998e-25,[Kr]5s1 4d7,2.2,2.0699999999999998e-10,7.361,1.05,+3,Solid,2607.0,4423.0,12100.0,Transition metal,"[2588.0, 2811.0, 3087.0, 3424.0, 3845.0, 4388.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.10109693717549999,82.23900240980649,238.0,6122836.332078412,381712.84984637465,28.70098620026323,"[-0.06487190648975827, -0.08373744813352313, -0.02177116242001209, 0.050377610794706706, 0.13585538423874066, 0.24724625796098088]",3127.1442090449946
47,45,Rh,Rhodium,1.7087458274999999e-25,[Kr]5s1 4d8,2.28,1.95e-10,7.459,1.137,+3,Solid,2237.0,3968.0,12400.0,Transition metal,"[2288.0, 2496.0, 2749.0, 3063.0, 3405.0, 3997.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.10290238247787749,80.79610072961539,243.0,4800666.302417272,258400.23680420095,26.252415304184126,"[0.3276667127926296, 0.15594783650953636, 0.033740631128392984, -0.052245724114830305, -0.3349330633128088, -0.1183170806606807]",2781.743132641937
48,46,Pd,Palladium,1.7671040999999999e-25,[Kr]4d10,2.2,2.02e-10,8.337,0.557,"+3, +2",Solid,1828.05,3236.0,12000.0,Transition metal,"[1721.0, 1897.0, 2117.0, 2395.0, 2753.0, 3234.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.10641677600609999,78.12782506701218,244.0,3364131.2341531455,157306.02474783146,24.940786595328195,"[-0.0761050351244047, -0.05864965498927366, -0.004158921653005909, 0.0556861407426581, 0.09370766713198497, 0.1199567773462622]",2147.809317408592
49,47,Ag,Silver,1.7911481399999996e-25,[Kr]5s1 4d10,1.93,1.72e-10,7.576,1.302,+1,Solid,1234.93,2435.0,10501.0,Transition metal,"[1283.0, 1413.0, 1575.0, 1782.0, 2055.0, 2433.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.10786473213893998,77.07905165231058,235.0,2354801.1937101367,104575.42309074938,23.97320946328675,"[0.17523035637523066, 0.050879105692571924, -0.02866515661013591, -0.07546828844408837, -0.09835939443340669, -0.09192058462975883]",1601.1405222873634
50,48,Cd,Cadmium,1.8665680499999998e-25,[Kr]5s2 4d10,1.69,1.58e-10,8.994,,+2,Solid,594.22,1040.0,8690.0,Transition metal,"[530.0, 583.0, 654.0, 745.0, 867.0, 1040.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.11240659453904998,73.96462186310325,232.0,888471.0048333083,55245.8690298873,22.927946131968675,"[0.3015969776656191, 0.021633376680520566, -0.04339166167785469, -0.09827317741962138, -0.12819522123876137, -0.12635651985782514]",666.0376254470215
51,49,In,Indium,1.9065528899999998e-25,[Kr]5s2 4d10 5p1,1.78,1.93e-10,5.786,0.3,+3,Solid,429.75,2345.0,7310.0,Post-transition metal,"[1196.0, 1325.0, 1485.0, 1690.0, 1962.0, 2340.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.11481452158868999,72.41341204019785,233.0,2018908.3819065783,28576.524594631075,23.37217655677469,"[0.06277190544839106, 0.0282393845886717, -0.00758430715232794, -0.03227142026944341, -0.047163226288771565, -0.05390409650714001]",1508.7230131787896
52,50,Sn,Tin,1.9711795499999996e-25,[Kr]5s2 4d10 5p2,1.96,2.17e-10,7.344,1.2,"+4, +2",Solid,505.08,2875.0,7287.0,Post-transition metal,"[1497.0, 1657.0, 1855.0, 2107.0, 2438.0, 2893.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.11870640368054998,70.03928180971643,228.0,2443002.1549672848,58969.01753369308,23.40829847388533,"[0.11411461348131469, 0.05690738012627916, -0.0003524931968905687, -0.05258338527543538, -0.1033038296469373, -0.149110924363557]",1883.8485675364923
53,50,Sn,Tin,1.9711795499999996e-25,[Kr]5s2 4d10 5p2,1.96,2.17e-10,7.344,1.2,"+4, +2",Solid,505.08,2875.0,7287.0,Post-transition metal,"[1497.0, 1657.0, 1855.0, 2107.0, 2438.0, 2893.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.11870640368054998,70.03928180971643,217.0,2443002.1549672848,58969.01753369308,23.40829847388533,"[0.11411461348131469, 0.05690738012627916, -0.0003524931968905687, -0.05258338527543538, -0.1033038296469373, -0.149110924363557]",1883.8485675364923
54,51,Sb,Antimony,2.0218247999999998e-25,[Kr]5s2 4d10 5p3,2.05,2.0599999999999999e-10,8.64,1.07,"+5, +3, -3",Solid,903.78,1860.0,6685.0,Metalloid,"[807.0, 876.0, 1011.0, 1219.0, 1491.0, 1858.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.12175631128079999,68.28484842010049,207.0,1588665.0799883618,162537.7755930811,27.22303210462036,"[-0.7993698871344481, -0.8056460784259498, -0.3258276116016289, 2.42035302610722, 10.121636070109489, 23.250460287771933]",1041.8714221088526
55,52,Te,Tellurium,2.1187979999999997e-25,[Kr]5s2 4d10 5p4,2.1,2.0599999999999999e-10,9.01,1.971,"+6, +4, -2",Solid,722.66,1261.0,6232.0,Metalloid,"[-775.0, -888.0, 1042.0, 1266.0]","[100.0, 1000.0, 10000.0, 100000.0]",0.127596134358,65.15958576513665,202.0,894227.717587952,137073.11814735565,0.2437502497901344,"[625634.2690342043, 6570.925535750487, -0.9999999997567873, -0.9999999997499464]",
56,53,I,Iodine,2.1072492224999997e-25,[Kr]5s2 4d10 5p5,2.66,1.98e-10,10.451,3.059,"+7, +5, +1, -1",Solid,386.85,457.55,4930.0,Halogen,"[260.0, 282.0, 309.0, 342.0, 381.0, 457.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.12690065542817247,65.5166928172873,214.0,164695.76086492074,61150.196378554305,12.738387906981767,"[20.540444970241992, 3.5796561214085436, -0.0020502396905287545, -0.7812126965048518, -0.9535718192189053, -0.9860906029685956]",320.40785065082076
57,54,Xe,Xenon,2.1800704499999997e-25,[Kr]5s2 4d10 5p6,2.6,2.16e-10,12.13,,0,Gas,161.36,165.03,5.887,Noble gas,"[83.0, 92.0, 103.0, 117.0, 137.0, 165.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.13128602256945,63.32822868178412,158.0,96278.33757636667,17290.492586894965,19.34386804972319,"[1.792447593218912, 0.6756629746543461, -0.02133165722593322, -0.4276259464952107, -0.6184839470479857, -0.7491846092493029]",105.20352985323045
58,55,Cs,Cesium,2.20689503046e-25,[Xe]6s1,0.79,3.43e-10,3.894,0.472,+1,Solid,301.59,944.0,1930.0,Alkali metal,"[418.0, 469.0, 534.0, 623.0, 750.0, 940.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.13290142562933163,62.55848062298781,242.0,480807.4834217364,15725.94116355914,18.955454158463986,"[0.7656950475169988, 0.30393776097332226, -0.04157657282282856, -0.2509455625688146, -0.39499824172661724, -0.5199082190281985]",546.5334134629065
59,56,Ba,Barium,2.28036465e-25,[Xe]6s2,0.89,2.68e-10,5.212,,+2,Solid,1000.0,2170.0,3620.0,Alkaline earth metal,"[911.0, 1038.0, 1185.0, 1388.0, 1686.0, 2170.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.13732583958765,60.54294869024566,204.0,1021657.6896327782,51847.4893099457,18.84270850223188,"[0.37601399786435197, 0.3270662625883216, -0.0029001069259377843, -0.19970380760857165, -0.31372983401958376, -0.3602513263719185]",1209.6771036611906
